Gene;B Memory;B Naive;Basophils LD;CD4+ effector;CD8 activated;MAIT;mDCs;Monocytes C;Monocytes NC+I;Naive T cells;Neutrophils LD;NK;pDCs;Plasmablasts;VD2-;VD2+
ROR2;0;0;0;1;0;17;0;0;0;0;0;0;0;0;0;0
RORC;0;0;0;35;2;153;0;0;0;1;0;1;0;0;2;8
RP11-1008C21.1;0;0;0;0;0;0;0;0;19;0;1;0;0;0;0;0
RP11-100G15.10;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0
RP11-103H7.1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
RP11-109G23.1;0;0;13;0;0;0;0;1;0;0;1;0;0;0;0;0
RP11-10J21.4;0;0;1;1;0;0;0;0;0;0;10;0;0;0;1;0
RP11-1166P10.8;22;12;0;0;0;0;0;0;0;0;0;0;0;265;0;0
RP11-117D22.2;10;8;0;2;1;1;10;4;3;1;0;1;107;0;1;3
RP11-1228E12.1;1;1;1;1;1;1;1;7;5;1;37;1;1;0;1;1
RP11-138I18.2;27;6;4;1;1;1;1;2;2;3;2;0;1;4;2;1
RP11-13A1.1;0;0;202;0;0;0;0;0;0;0;1;0;0;0;0;0
RP11-13A1.2;0;0;365;0;0;0;0;0;0;0;0;0;0;0;0;0
RP11-13A1.3;0;0;486;0;0;0;0;0;0;0;1;0;0;0;0;0
RP11-144A16.8;1;2;6;2;3;2;1;2;1;3;112;3;2;0;2;2
RP11-162P23.2;0;2;0;0;0;0;27;41;9;0;0;0;21;0;0;0
RP11-164P12.5;0;0;4;0;0;0;1;0;0;1;0;0;20;0;0;0
RP11-178F10.2;0;0;102;1;0;0;0;0;0;0;0;0;0;0;0;0
RP11-191A15.1;0;0;0;0;0;0;36;10;23;0;0;0;5;0;0;0
RP11-203M5.6;0;1;0;0;0;0;2;0;0;0;0;0;1385;0;0;0
RP11-20I20.4;1;4;0;2;45;5;0;0;3;1;0;242;7;0;22;18
RP11-213H15.4;0;2;1;1;1;0;0;3;1;0;44;1;0;0;0;1
RP11-21J7.1;0;0;0;6;0;39;0;0;0;0;0;0;0;0;0;0
RP11-221J22.2;0;1;0;0;0;0;0;0;34;0;1;0;1;0;0;0
RP11-22N19.2;0;2;2;0;1;0;7;36;19;0;83;1;0;0;0;1
RP11-242C19.2;0;0;2;0;0;0;1;1;1;0;16;0;0;0;0;0
RP11-256L6.3;0;0;16;0;0;0;0;0;0;0;46;0;0;0;0;0
RP11-265P11.1;0;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0
