Gene;B Memory;B Naive;Basophils LD;CD4+ effector;CD8 activated;MAIT;mDCs;Monocytes C;Monocytes NC+I;Naive T cells;Neutrophils LD;NK;pDCs;Plasmablasts;VD2-;VD2+
TRIB1;4;2;4;1;0;0;20;25;31;0;179;0;1;42;0;0
TRIP10;4;2;0;3;1;3;10;2;1;5;0;2;50;2;1;3
TRO;1;4;2;1;3;0;0;0;0;2;0;4;24;1;1;1
TSPAN1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
TSPAN13;41;116;0;0;0;0;1;0;0;0;4;2;533;5;0;0
TSPAN15;0;0;0;10;1;50;3;0;1;1;0;2;0;0;1;1
TSPAN16;0;0;5;0;0;0;1;3;1;0;21;0;0;0;0;0
TTC24;7;30;0;4;14;6;1;0;0;43;0;9;195;0;21;19
TTC39A;0;0;1;0;0;0;0;1;0;0;1;0;92;0;2;0
TUBB6;42;44;0;1;0;0;31;18;7;0;0;3;203;4;0;0
U1;13;26;10;8;9;22;71;226;48;10;9;10;39;14;15;16
UBD;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0
UGCG;38;38;5;25;16;18;17;4;8;21;8;14;872;4;15;14
UGT2B11;0;0;225;0;0;0;0;0;0;0;0;1;0;0;0;0
UPK3A;0;1;0;0;0;0;21;5;9;0;1;0;6;0;0;0
VAV3-AS1;2;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0
VCAN;28;64;11;0;0;0;341;1393;113;1;1;2;0;7;0;0
VCAN-AS1;1;1;1;0;0;0;17;42;3;0;0;0;0;0;0;0
VEGFB;11;4;1;4;2;4;2;0;1;4;0;3;50;1;4;3
VIPR2;0;0;0;0;3;0;0;0;0;0;0;5;26;0;5;2
VMO1;0;0;0;0;0;0;1;0;23;0;0;0;0;0;0;0
VNN3;2;2;104;1;3;1;1;25;6;2;416;3;2;1;2;1
VSIG4;0;1;2;0;2;0;57;21;6;0;1;0;0;0;1;0
WLS;2;1;0;0;0;0;1;35;2;0;112;0;0;0;0;0
XXYLT1-AS2;1;1;0;1;0;0;1;0;0;1;1;0;10;1;0;0
ZBTB32;87;25;1;2;2;0;0;0;0;2;0;0;0;33;2;1
ZDHHC11B;0;0;0;10;1;1;0;0;0;1;0;0;0;0;0;2
ZDHHC18;4;4;14;9;11;13;10;3;8;6;261;8;2;2;10;14
ZFAT;15;11;11;8;8;7;7;7;11;12;5;8;634;22;9;5
ZMAT4;0;1;0;0;0;0;0;0;1;0;0;39;0;0;1;1
ZNF366;0;0;0;0;0;0;32;2;2;0;0;0;1;0;0;0
ZNF556;1;1;2;1;1;1;1;1;1;2;2;1;18;0;1;1
ZNF683;0;0;0;4;311;1;0;0;0;1;0;13;0;0;105;39
